name,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,dist,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M
LSQ15aja,0.0699516,0.0699657,1.027,0.01,18.225,0.01,-10.6,0.0545,0.0054,2.212e-05,Ho,CSPII,Ia,0.984,1,0,-0.092,0.009,0.000000
LSQ15alq,0.0470667,0.0480953,0.92,0.005,17.39,0.005,-13.3,0.0668,0.0067,7.408e-06,Ho,CSPII,Ia,0.97,1,0,-0.004,0.006,0.000000
LSQ15bv,0.0689,0.0701168,0.955,0.01,18.278,0.012,-2.0,0.0443,0.0044,9.979e-06,Ho,CSPII,Ia,0.985,1,0,-0.003,0.017,0.000000
PS1-13eao,0.0377533,0.037362,0.893,0.047,19.6,0.017,-3.2,0.0107,0.0011,0.000273,Ho,CSPII,Ia,0.0,1,0,1.509,0.100,0.000000
PS1-14ra,0.0280833,0.0287982,0.778,0.006,16.593,0.005,-1.3,0.023,0.0023,-1.674e-06,Ho,CSPII,Ia,0.984,1,1,0.052,0.006,0.000000
PS1-14rx,0.0669536,0.0680019,0.848,0.018,18.618,0.019,-9.4,0.0266,0.0027,0.0001343,Ho,CSPII,Ia,0.981,1,0,-0.022,0.028,0.000000
PS1-14xw,0.0245,0.0245957,1.036,0.01,15.842,0.005,-4.7,0.0656,0.0066,6.123e-06,Ho,CSPII,Ia,0.975,0,0,0.018,0.006,0.000000
PS15sv,0.033277,0.0335844,1.113,0.014,16.508,0.009,-5.0,0.0782,0.0078,4.538e-05,Ho,CSPII,Ia-91T,0.977,1,1,0.013,0.013,0.000000
PTF11pbp,0.0289033,0.0276702,1.157,0.007,16.34,0.006,-8.7,0.0507,0.0051,1.46e-05,Ho,CSPII,Ia,0.984,1,1,0.051,0.007,0.000000
PTF11ppn,0.0672534,0.0661869,0.66,0.038,18.507,0.067,5.6,0.132,0.0132,-0.0004085,Ho,CSPII,Ia-91bg,0.154,1,0,0.245,0.164,0.000000
